player_id,Player,Games Played,Minutes,PER,NBA Rating,OREB%,DREB%,REB%,AST/TO,Points,Assists,Rebounds
3157465,Duncan Robinson,74.0,24.135136,11.861,17.731756,0.0,0.0,0.0,2.0465117,11.040541,2.3783784,2.2567568
3195,Mike Conley,71.0,24.732395,13.311,18.245773,0.0,0.0,0.0,4.2533336,8.197183,4.4929576,2.5633802
3202,Kevin Durant,62.0,36.532257,21.241,43.383064,0.0,0.0,0.0,1.3842105,26.564516,4.2419353,6.032258
3213,Al Horford,60.0,27.65,12.951,20.098333,0.0,0.0,0.0,2.7826087,8.966666,2.1333334,6.15
3416,Nicolas Batum,78.0,17.52564,10.32,9.859615,0.0,0.0,0.0,2.4705882,4.0128207,1.0769231,2.7948718
3448,Brook Lopez,80.0,31.825,14.796,25.1175,0.0,0.0,0.0,1.7023809,13.0125,1.7875,5.0125
3468,Russell Westbrook,75.0,27.893333,14.368,26.948,0.0,0.0,0.0,1.8884298,13.253333,6.0933332,4.9333334
3907387,Ben Simmons,51.0,21.960785,12.439,18.117647,4.62,0.0,12.206,2.7941177,5.019608,5.5882354,4.72549
3907497,Dejounte Murray,31.0,32.64516,15.446,34.02258,0.0,0.0,0.0,2.1509433,17.483871,7.354839,6.451613
3907498,Matisse Thybulle,15.0,20.8,16.973,16.716667,0.0,0.0,0.0,2.1538463,7.4666667,1.8666667,3.4666667
3907822,Malik Beasley,82.0,27.841463,14.437,23.009146,0.0,0.0,0.0,1.6746988,16.292683,1.695122,2.609756
3908809,Donovan Mitchell,71.0,31.436619,20.934,37.604225,0.0,0.0,0.0,2.375839,23.957747,4.9859157,4.535211
3908845,John Collins,40.0,30.5,19.012,33.583748,0.0,0.0,0.0,0.776699,18.95,2.0,8.175
3913174,Luke Kennard,65.0,22.646154,13.594,17.80077,0.0,0.0,0.0,2.9861112,8.861539,3.3076923,2.8153846
3913176,Brandon Ingram,18.0,33.055557,16.108,36.26389,0.0,0.0,0.0,1.3478261,22.222221,5.1666665,5.5555553
3913180,Garrison Mathews,47.0,17.659575,11.229,12.225532,0.0,0.0,0.0,1.9354838,7.510638,1.2765957,1.8510638
3917376,Jaylen Brown,63.0,34.253967,17.843,35.703175,0.0,0.0,0.0,1.7654321,22.190475,4.5396824,5.84127
3934672,Jalen Brunson,65.0,35.4,21.658,41.46769,0.0,0.0,0.0,2.8963416,26.0,7.3076925,2.876923
3934673,Donte DiVincenzo,62.0,25.903225,14.148,21.889517,0.0,0.0,0.0,2.2727273,11.66129,3.6290324,3.6774194
3934719,OG Anunoby,74.0,36.567566,15.406,29.792566,0.0,0.0,0.0,1.6078432,18.0,2.2162163,4.8378377
3936099,Derrick Jones Jr.,77.0,24.324675,13.569,17.214935,0.0,0.0,0.0,0.90909094,10.142858,0.77922076,3.4155843
3936299,Jamal Murray,67.0,36.089554,17.83,36.879105,0.0,0.0,0.0,2.9202898,21.432837,6.0149255,3.8955224
3945274,Luka Doncic,50.0,35.38,24.114,49.061,2.574,0.0,12.827,2.139665,28.16,7.66,8.18
3948153,Chris Boucher,50.0,17.24,18.728,17.586,0.0,0.0,0.0,1.137931,10.04,0.66,4.48
3975,Stephen Curry,70.0,32.17143,21.609,40.249287,0.0,0.0,0.0,2.105,24.542856,6.0142856,4.428571
3978,DeMar DeRozan,77.0,35.94805,17.802,34.844154,0.0,0.0,0.0,3.2571428,22.207792,4.4415584,3.8701298
3992,James Harden,79.0,35.3038,20.002,41.53481,0.0,0.0,0.0,2.0146627,22.810127,8.696202,5.772152
3995,Jrue Holiday,62.0,30.580645,13.528,22.58387,0.0,0.0,0.0,3.1038961,11.064516,3.8548386,4.274194
4017837,Ivica Zubac,80.0,32.8,22.379,37.85875,0.0,0.0,0.0,1.6850394,16.75,2.675,12.625
4017844,Guerschon Yabusele,70.0,27.071428,14.71,21.495714,0.0,0.0,0.0,1.7011495,10.971429,2.1142857,5.642857
4065648,Jayson Tatum,72.0,36.444443,21.772,45.969444,0.0,0.0,0.0,2.062201,26.833334,5.986111,8.652778
4065654,Jonathan Isaac,71.0,15.352113,16.579,12.569718,0.0,0.0,0.0,1.2121212,5.352113,0.5633803,4.4225354
